doc_id,date,era,signals_cut_soon,signals_higher_for_longer,acknowledges_banking_stress,blames_supply_shocks,n_high_ge_0.6,high_nouls
stmt-2019-12-11,2019-12-11,other,0.12,0.05,0.11,0.07,0,[]
stmt-2019-10-30,2019-10-30,other,0.4,0.04,0.21,0.06,0,[]
stmt-2019-09-18,2019-09-18,other,0.77,0.03,0.14,0.13,1,['signals_cut_soon']
stmt-2020-03-15,2020-03-15,2020,0.78,0.02,0.37,0.43,1,['signals_cut_soon']
stmt-2020-04-29,2020-04-29,2020,0.17,0.02,0.35,0.04,0,[]
stmt-2020-06-10,2020-06-10,2020,0.08,0.03,0.3,0.05,0,[]
stmt-2020-09-16,2020-09-16,2020,0.07,0.06,0.1,0.49,0,[]
stmt-2020-11-05,2020-11-05,2020,0.06,0.05,0.14,0.18,0,[]
stmt-2020-07-29,2020-07-29,2020,0.06,0.04,0.1,0.44,0,[]
stmt-2020-12-16,2020-12-16,2020,0.13,0.04,0.07,0.08,0,[]
stmt-2021-01-27,2021-01-27,other,0.17,0.03,0.06,0.08,0,[]
stmt-2021-03-17,2021-03-17,other,0.05,0.04,0.07,0.27,0,[]
stmt-2021-11-03,2021-11-03,other,0.04,0.09,0.04,0.92,1,['blames_supply_shocks']
stmt-2021-07-28,2021-07-28,other,0.04,0.06,0.07,0.85,1,['blames_supply_shocks']
stmt-2021-06-16,2021-06-16,other,0.04,0.06,0.04,0.71,1,['blames_supply_shocks']
stmt-2021-04-28,2021-04-28,other,0.05,0.05,0.06,0.31,0,[]
stmt-2021-09-22,2021-09-22,other,0.04,0.1,0.05,0.9,1,['blames_supply_shocks']
stmt-2021-12-15,2021-12-15,other,0.03,0.36,0.02,0.78,1,['blames_supply_shocks']
stmt-2022-01-26,2022-01-26,2022_hikes,0.02,0.17,0.03,0.79,1,['blames_supply_shocks']
stmt-2022-05-04,2022-05-04,2022_hikes,0.02,0.59,0.03,0.71,1,['blames_supply_shocks']
stmt-2022-07-27,2022-07-27,2022_hikes,0.03,0.78,0.04,0.53,1,['signals_higher_for_longer']
stmt-2022-06-15,2022-06-15,2022_hikes,0.03,0.82,0.04,0.47,1,['signals_higher_for_longer']
stmt-2022-03-16,2022-03-16,2022_hikes,0.02,0.86,0.07,0.72,2,"['signals_higher_for_longer', 'blames_supply_shocks']"
stmt-2022-11-02,2022-11-02,2022_hikes,0.03,0.96,0.04,0.26,1,['signals_higher_for_longer']
stmt-2022-09-21,2022-09-21,2022_hikes,0.03,0.97,0.03,0.26,1,['signals_higher_for_longer']
stmt-2023-02-01,2023-02-01,2023_other,0.03,0.95,0.03,0.07,1,['signals_higher_for_longer']
stmt-2023-03-22,2023-03-22,2023_SVB,0.12,0.61,0.99,0.08,2,"['signals_higher_for_longer', 'acknowledges_banking_stress']"
stmt-2023-07-26,2023-07-26,2023_other,0.04,0.86,0.06,0.06,1,['signals_higher_for_longer']
stmt-2023-06-14,2023-06-14,2023_other,0.05,0.88,0.16,0.07,1,['signals_higher_for_longer']
stmt-2022-12-14,2022-12-14,2022_hikes,0.04,0.97,0.04,0.21,1,['signals_higher_for_longer']
stmt-2023-05-03,2023-05-03,2023_other,0.04,0.81,0.99,0.06,2,"['signals_higher_for_longer', 'acknowledges_banking_stress']"
stmt-2023-09-20,2023-09-20,2023_other,0.11,0.93,0.05,0.07,1,['signals_higher_for_longer']
stmt-2024-03-20,2024-03-20,2024,0.46,0.76,0.09,0.09,1,['signals_higher_for_longer']
stmt-2023-11-01,2023-11-01,2023_other,0.04,0.91,0.07,0.06,1,['signals_higher_for_longer']
stmt-2023-12-13,2023-12-13,2023_other,0.2,0.88,0.03,0.11,1,['signals_higher_for_longer']
stmt-2024-05-01,2024-05-01,2024,0.06,0.96,0.08,0.11,1,['signals_higher_for_longer']
stmt-2024-01-31,2024-01-31,2024,0.39,0.8,0.03,0.11,1,['signals_higher_for_longer']
stmt-2024-06-12,2024-06-12,2024,0.11,0.93,0.03,0.09,1,['signals_higher_for_longer']
stmt-2024-09-18,2024-09-18,2024,0.93,0.08,0.03,0.09,1,['signals_cut_soon']
stmt-2024-07-31,2024-07-31,2024,0.1,0.93,0.03,0.11,1,['signals_higher_for_longer']
stmt-2024-11-07,2024-11-07,2024,0.86,0.11,0.03,0.22,1,['signals_cut_soon']
stmt-2025-01-29,2025-01-29,2025_26,0.14,0.83,0.03,0.06,1,['signals_higher_for_longer']
stmt-2024-12-18,2024-12-18,2024,0.73,0.24,0.03,0.13,1,['signals_cut_soon']
stmt-2025-03-19,2025-03-19,2025_26,0.2,0.71,0.06,0.6,2,"['signals_higher_for_longer', 'blames_supply_shocks']"
stmt-2025-05-07,2025-05-07,2025_26,0.09,0.53,0.03,0.85,1,['blames_supply_shocks']
stmt-2025-07-30,2025-07-30,2025_26,0.1,0.67,0.03,0.59,1,['signals_higher_for_longer']
stmt-2025-06-18,2025-06-18,2025_26,0.21,0.49,0.03,0.81,1,['blames_supply_shocks']
stmt-2025-09-17,2025-09-17,2025_26,0.92,0.06,0.03,0.61,2,"['signals_cut_soon', 'blames_supply_shocks']"
stmt-2026-01-28,2026-01-28,2025_26,0.18,0.13,0.03,0.86,1,['blames_supply_shocks']
stmt-2025-10-29,2025-10-29,2025_26,0.77,0.1,0.06,0.71,2,"['signals_cut_soon', 'blames_supply_shocks']"
stmt-2026-03-18,2026-03-18,2025_26,0.28,0.23,0.03,0.89,1,['blames_supply_shocks']
stmt-2026-04-29,2026-04-29,2025_26,0.07,0.32,0.04,0.92,1,['blames_supply_shocks']
stmt-2025-12-10,2025-12-10,2025_26,0.82,0.08,0.03,0.79,2,"['signals_cut_soon', 'blames_supply_shocks']"
stmt-2026-06-17,2026-06-17,2025_26,0.14,0.44,0.04,0.12,0,[]
stmt-2026-07-29,2026-07-29,2025_26,0.06,0.81,0.04,0.63,2,"['signals_higher_for_longer', 'blames_supply_shocks']"
stmt-2026-09-16,2026-09-16,2025_26,0.03,0.78,0.04,0.26,1,['signals_higher_for_longer']
