doc_id,date,composite,d_same,score_jev,fedlock_m,exclude_main,is_scheduled,flag_svb,inflation_urgency,tightness_preference,reaction_toughness,guidance_firmness
stmt-2017-12-13,2017-12-13,1.9525,0.25,2.46,56.89,False,True,False,0.65,3.01,1.6,2.55
stmt-2018-09-26,2018-09-26,1.81,0.25,2.53,,False,True,False,0.11,2.99,1.66,2.48
stmt-2018-03-21,2018-03-21,2.215,0.25,2.77,59.26,False,True,False,0.79,3.21,1.95,2.91
stmt-2018-06-13,2018-06-13,1.9474999999999998,0.25,2.58,54.46,False,True,False,0.74,3.03,1.93,2.09
stmt-2018-12-19,2018-12-19,1.53,0.25,1.93,54.38,False,True,False,0.06,2.53,1.59,1.94
stmt-2019-05-01,2019-05-01,1.125,0.0,1.15,47.6,False,True,False,0.14,1.77,0.68,1.91
stmt-2019-03-20,2019-03-20,1.225,0.0,1.13,46.87,False,True,False,0.03,1.89,0.82,2.16
stmt-2019-01-30,2019-01-30,0.7425,0.0,0.6,47.74,False,True,False,0.02,1.34,0.62,0.99
stmt-2019-07-31,2019-07-31,0.24,-0.25,0.6,42.51,False,True,False,0.53,0.09,0.21,0.13
stmt-2019-06-19,2019-06-19,0.2925,0.0,0.73,37.74,False,True,False,0.32,0.29,0.29,0.27
stmt-2020-01-29,2020-01-29,1.325,0.0,1.75,46.13,False,True,False,0.55,1.84,0.88,2.03
stmt-2020-03-03,2020-03-03,0.045,-0.5,0.24,38.07,True,False,False,0.01,0.04,0.07,0.06
stmt-2019-12-11,2019-12-11,1.01,0.0,1.42,46.65,False,True,False,0.82,0.98,1.02,1.22
stmt-2019-10-30,2019-10-30,0.315,-0.25,0.59,37.92,False,True,False,0.27,0.29,0.25,0.45
stmt-2019-09-18,2019-09-18,0.235,-0.25,0.62,43.93,False,True,False,0.22,0.23,0.25,0.24
stmt-2020-03-15,2020-03-15,0.095,-1.0,0.07,38.08,True,False,False,0.02,0.0,0.15,0.21
stmt-2020-04-29,2020-04-29,0.14,0.0,0.19,39.57,False,True,False,0.0,0.0,0.27,0.29
stmt-2020-06-10,2020-06-10,0.20249999999999999,0.0,0.1,34.41,False,True,False,0.02,0.0,0.08,0.71
stmt-2020-09-16,2020-09-16,0.33,0.0,0.86,35.96,False,True,False,0.11,0.0,0.14,1.07
stmt-2020-11-05,2020-11-05,0.365,0.0,0.49,40.93,False,True,False,0.14,0.0,0.15,1.17
stmt-2020-07-29,2020-07-29,0.1475,0.0,0.22,39.43,False,True,False,0.01,0.0,0.11,0.47
stmt-2020-12-16,2020-12-16,0.305,0.0,0.59,35.81,False,True,False,0.07,0.0,0.15,1.0
stmt-2021-01-27,2021-01-27,0.3075,0.0,0.51,40.88,False,True,False,0.1,0.0,0.12,1.01
stmt-2021-03-17,2021-03-17,0.4075,0.0,0.57,,False,True,False,0.07,0.0,0.13,1.43
stmt-2021-11-03,2021-11-03,1.285,0.0,1.52,51.82,False,True,False,1.07,1.42,0.89,1.76
stmt-2021-07-28,2021-07-28,0.6025,0.0,1.17,46.25,False,True,False,0.77,0.02,0.61,1.01
stmt-2021-06-16,2021-06-16,0.695,0.0,1.18,43.71,False,True,False,0.76,0.01,0.6,1.41
stmt-2021-04-28,2021-04-28,0.40750000000000003,0.0,0.6,34.46,False,True,False,0.1,0.0,0.18,1.35
stmt-2021-09-22,2021-09-22,0.995,0.0,1.66,46.88,False,True,False,0.95,0.48,0.95,1.6
stmt-2021-12-15,2021-12-15,2.3925,0.0,2.94,60.06,False,True,False,2.55,2.9,1.75,2.37
stmt-2022-01-26,2022-01-26,2.5,0.0,3.02,62.87,False,True,False,2.79,3.21,2.57,1.43
stmt-2022-05-04,2022-05-04,3.5300000000000002,0.5,3.67,66.82,False,True,False,3.8,3.99,3.24,3.09
stmt-2022-07-27,2022-07-27,3.725,0.75,3.9,70.26,False,True,False,3.96,4.0,3.74,3.2
stmt-2022-06-15,2022-06-15,3.7075,0.75,3.85,68.86,False,True,False,3.96,4.0,3.62,3.25
stmt-2022-03-16,2022-03-16,3.32,0.25,3.33,64.03,False,True,False,3.11,3.92,3.03,3.22
stmt-2022-11-02,2022-11-02,3.9575,0.75,3.88,69.62,False,True,False,3.97,4.0,3.95,3.91
stmt-2022-09-21,2022-09-21,3.965,0.75,3.86,68.63,False,True,False,3.98,4.0,3.95,3.93
stmt-2023-02-01,2023-02-01,3.8200000000000003,0.25,3.5,69.6,False,True,False,3.8,3.99,3.66,3.83
stmt-2023-03-22,2023-03-22,2.79,0.25,2.4,64.61,False,True,True,2.96,2.98,2.79,2.43
stmt-2023-07-26,2023-07-26,3.46,0.25,3.36,63.85,False,True,False,3.45,3.91,3.43,3.05
stmt-2023-06-14,2023-06-14,3.465,0.0,3.25,61.21,False,True,False,3.54,3.59,3.39,3.34
stmt-2022-12-14,2022-12-14,3.9025,0.5,3.58,67.46,False,True,False,3.92,4.0,3.79,3.9
stmt-2023-05-03,2023-05-03,3.315,0.25,3.18,60.83,False,True,False,3.29,3.75,3.42,2.8
stmt-2023-09-20,2023-09-20,3.515,0.0,3.15,68.17,False,True,False,3.4,3.69,3.49,3.48
stmt-2024-03-20,2024-03-20,2.4175,0.0,2.24,57.87,False,True,False,2.81,1.66,2.84,2.36
stmt-2023-11-01,2023-11-01,3.4074999999999998,0.0,3.13,63.41,False,True,False,3.34,3.67,3.31,3.31
stmt-2023-12-13,2023-12-13,3.2675,0.0,2.9,58.84,False,True,False,3.19,3.41,3.23,3.24
stmt-2024-05-01,2024-05-01,3.2424999999999997,0.0,2.99,59.59,False,True,False,3.02,3.29,3.11,3.55
stmt-2024-01-31,2024-01-31,2.625,0.0,2.49,61.72,False,True,False,2.9,2.21,2.88,2.51
stmt-2024-06-12,2024-06-12,3.015,0.0,2.86,62.51,False,True,False,2.72,3.23,2.91,3.2
stmt-2024-09-18,2024-09-18,1.065,-0.5,0.95,48.05,False,True,False,1.22,0.51,1.95,0.58
stmt-2024-07-31,2024-07-31,2.95,0.0,2.77,59.29,False,True,False,2.49,3.29,2.85,3.17
stmt-2024-11-07,2024-11-07,1.1175,-0.25,1.06,45.28,False,True,False,1.38,0.59,1.65,0.85
stmt-2025-01-29,2025-01-29,2.19,0.0,2.21,54.53,False,True,False,1.56,2.5,2.1,2.6
stmt-2024-12-18,2024-12-18,1.4325,-0.25,1.44,46.07,False,True,False,1.55,0.82,1.79,1.57
stmt-2025-03-19,2025-03-19,1.9825000000000002,0.0,2.18,54.33,False,True,False,1.36,2.16,2.0,2.41
stmt-2025-05-07,2025-05-07,1.9625,0.0,2.06,54.15,False,True,False,1.7,2.18,1.74,2.23
stmt-2025-07-30,2025-07-30,2.2399999999999998,0.0,2.51,57.19,False,True,False,1.68,2.73,2.03,2.52
stmt-2025-06-18,2025-06-18,1.81,0.0,2.3,55.16,False,True,False,1.64,1.81,1.81,1.98
stmt-2025-09-17,2025-09-17,0.895,-0.25,1.26,45.71,False,True,False,1.49,0.55,1.26,0.28
stmt-2026-01-28,2026-01-28,1.53,0.0,1.4,51.89,False,True,False,1.43,1.59,1.45,1.65
stmt-2025-10-29,2025-10-29,1.2974999999999999,-0.25,1.49,45.2,False,True,False,1.7,0.78,1.63,1.08
stmt-2026-03-18,2026-03-18,1.5325,0.0,1.83,51.97,False,True,False,1.56,1.52,1.53,1.52
stmt-2026-04-29,2026-04-29,1.73,0.0,1.54,53.74,False,True,False,1.48,2.21,1.23,2.0
stmt-2025-12-10,2025-12-10,1.14,-0.25,1.31,46.32,False,True,False,1.49,0.79,1.68,0.6
stmt-2026-06-17,2026-06-17,2.55,0.0,2.82,58.62,False,True,False,2.85,2.77,2.63,1.95
stmt-2026-07-29,2026-07-29,3.27,0.0,2.96,63.24,False,True,False,3.22,3.1,3.46,3.3
stmt-2026-09-16,2026-09-16,3.5324999999999998,0.25,3.47,66.4,False,True,False,3.65,3.84,3.3,3.34
